currency,asset,exchange,strategy,profit[%],"profit/day[%]","yearly profit[%]","sharpe ratio","market change[%]",profit-market,"trade amount","trades/day","wining trades", "losses trades","percentage wins[%]","best win[%]","median wins[%]","worst loss[%]","median loss[%]","avg. exposed duration[min]","candle size","warmup period","days of dataset","backtest start","dataset from","dataset to","price volality",volume,"volume/day","overall trades","overall trades/day",note
USD,AVT,bitfinex,BBRSI,-15.34,-0.26,-96,-1.04,-63.47,48.13,199,3.43,55,44,55.56,0.30,0.05,-0.59,-0.04,172.93,10,79,58,"2018-04-10 22:11:33","2018-01-26 13:30:00","2018-03-25 19:58:00",36.3,1684230,28924,14507,249,"shorter period"
USD,RCN,bitfinex,BBRSI,17.62,0.30,109,-1.04,-63.33,80.96,183,3.16,57,34,62.64,0.56,0.06,-0.43,-0.06,171.98,10,79,58,"2018-04-10 22:11:33","2018-01-26 02:00:00","2018-03-25 23:27:00",38.0,11001093,186927,7602,129,"shorter period"
USDT,NXT,poloniex,BBRSI,-25.44,-0.45,-160,-2.08,-54.67,29.22,165,2.89,44,38,53.66,0.35,0.05,-0.23,-0.04,122.68,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:53:00",26.6,269627290,4652478,246334,4250,"shorter period"
BTC,BTM,poloniex,BBRSI,-25.21,-0.44,-158,-2.22,-49.04,23.83,170,2.98,55,30,64.71,0.21,0.03,-0.27,-0.04,154.82,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:56:00","2018-03-25 23:46:00",26.1,2408864,41596,26539,458,"shorter period"
BTC,STR,poloniex,BBRSI,-61.23,-1.07,-385,-4.03,-50.01,-11.22,181,3.18,29,61,32.22,0.11,0.02,-0.10,-0.02,149.78,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:58:00",22.1,1320437474,22783076,860726,14851,"shorter period"
USDT,NXT,poloniex,RSI_BULL_BEAR,-16.36,-0.29,-103,-0.77,-54.67,38.31,44,0.77,11,10,52.38,0.44,0.14,-0.46,-0.25,1413.81,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:53:00",26.6,269627290,4652478,246334,4250,"shorter period"
USD,AVT,bitfinex,RSI_BULL_BEAR,-27.69,-0.48,-173,-0.87,-63.47,35.78,140,2.41,40,30,57.14,0.39,0.1,-0.52,-0.06,452.71,10,79,58,"2018-04-10 22:11:33","2018-01-26 13:30:00","2018-03-25 19:58:00",36.3,1684230,28924,14507,249,"shorter period"
USD,RCN,bitfinex,RSI_BULL_BEAR,150.64,2.60,934,-0.30,-63.33,213.98,147,2.53,45,28,61.64,1.98,0.12,-0.91,-0.09,509.73,10,79,58,"2018-04-10 22:11:33","2018-01-26 02:00:00","2018-03-25 23:27:00",38.0,11001093,186927,7602,129,"shorter period"
BTC,BTM,poloniex,RSI_BULL_BEAR,-34.39,-0.60,-216,-1.01,-49.04,14.64,120,2.11,29,31,48.33,0.51,0.05,-0.36,-0.06,665.33,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:56:00","2018-03-25 23:46:00",26.1,2408864,41596,26539,458,"shorter period"
BTC,STR,poloniex,RSI_BULL_BEAR,-37.44,-0.66,-235,-1.56,-50.01,12.57,48,0.84,8,15,34.78,0.18,0.04,-0.32,-0.05,900.43,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:58:00",22.1,1320437474,22783076,860726,14851,"shorter period"
USDT,NXT,poloniex,HL,6.72,0.12,42,-3.90,-54.67,61.38,10,0.18,5,0,100.00,0.12,0.08,0.03,n/a,1150,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:00:00","2018-03-25 23:53:00",26.6,269627290,4652478,246334,4250,"shorter period"
USD,AVT,bitfinex,HL,-56.50,-0.97,-354,-1.09,-63.47,6.97,7,0.12,2,1,66.67,0.21,0.17,-0.01,-0.01,390,10,79,58,"2018-04-10 22:11:33","2018-01-26 13:30:00","2018-03-25 19:58:00",36.3,1684230,28924,14507,249,"shorter period"
USD,RCN,bitfinex,HL,48.05,0.83,298,-0.05,-63.33,111.39,22,0.38,9,2,81.82,1.46,0.11,-0.04,-0.02,760.91,10,79,58,"2018-04-10 22:11:33","2018-01-26 02:00:00","2018-03-25 23:27:00",38.0,11001093,186927,7602,129,"shorter period"
BTC,BTM,poloniex,HL,-44.47,-0.78,-280,-Inf,-49.04,4.57,3,0.05,1,0,100.00,0.17,0.17,0.17,n/a,250,10,79,57,"2018-04-10 22:11:33","2018-01-27 00:56:00","2018-03-25 23:46:00",26.1,2408864,41596,26539,458,"shorter period"
